-0.88	-0.83	0.73	-0.39	-0.78	-1.93	-0.12	0.14	1.25	0.89	0.35	0.88	-0.02	-0.37	-0.74	-0.42	0.83	2.27
2.51	0.52	1.22	-2.98	-2.34	-2.52	0.09	-0.09	1.88	2.48	1.57	-0.71	-1.72	-1.82	-1.07	-1.03	0.43	1.66
0.5	-0.34	0.48	0.45	1.25	1.33	-0.23	-1.56	-1.88	-2.23	0.51	0.96	-0.51	-0.04	1.08	1.71	-0.74	-1.11
0.02	0.25	0.4	0.8	-0.46	0.26	2.01	1.5	1.09	-0.63	-1.79	-0.71	-0.38	-1.61	1.12	-1.87	0.24	0.18
-0.73	-0.89	1.98	1.09	0.85	-1.06	-0.83	-0.52	-2.38	-1	0.29	1.18	0.78	0.95	0.32	-0.1	0.43	-0.29
-1.17	-0.83	2.31	2.69	2.28	-0.69	-1.51	-4.12	-3.36	-0.63	1.63	3.08	1.8	1.28	-0.27	-1.43	-0.37	-1.19
-0.86	0.32	1.22	1.15	0.5	-0.69	-1.01	-0.32	-1.6	-0.27	-0.7	1.94	0.02	-0.21	-0.34	1.18	-0.74	0.76
-1.12	0.36	-0.23	-2.19	-2.59	-2.92	-0.98	-0.25	3.01	1.32	2.11	-0.45	0.69	-0.7	0.21	2.27	0.64	1.98
-3.28	-1.8	-0.67	-1.09	-2.42	-2.92	-0.19	2.31	5.2	5.77	3.23	3.8	0.29	-0.99	-3.08	-1.67	-0.7	1.55
-5	-4.27	-4.55	-0.59	4.2	2.5	2.75	1.65	-1.45	-2.77	-3.58	-0.03	3.72	5.98	4.77	5.16	0.61	0.08
-3.91	-5.53	-3.05	-1.58	3.38	4.15	2.93	1.65	-1.8	-1.36	-3.84	-0.56	3.23	5.86	4.33	5.2	0.21	-0.25
-1.95	-2.66	-0.23	0.8	1.71	0.59	0.8	-0.05	-1.33	0.23	-0.54	1.68	0.91	1.48	1.63	-0.18	0.28	-0.29
-0.78	-0.43	0.78	0.34	-2.49	-3.73	-2.25	0.49	1.09	3.92	1.89	2.66	0.42	-0.99	-2.38	0.86	-1.32	2.24
-0.18	-0.92	1.05	0.48	1.96	-0.29	1.33	0.14	0.08	-0.24	-0.32	-1.01	-0.6	0.29	0.65	-1.43	0.1	-1.19
-0.95	-1.18	2.89	3.53	1.74	-1.24	-2.33	-0.32	-4.18	1.86	0.29	1.33	1.54	1.03	-1.65	-0.22	-1.9	-0.79
0.26	-1.09	-1.3	-0.65	-0.6	1.4	0.27	0.57	-0.12	0.63	-1.28	-0.48	-0.47	1.32	0.46	0.26	1.37	0.9
0.36	-0.06	-0.31	0.02	-0.03	-1.71	-0.66	-0.56	-0.27	0.13	-0.16	1.6	0.38	1.07	0.43	0.1	-0.41	0.26
-1.05	0.43	0.75	0.16	0.14	-0.1	0.91	0.99	-1.8	0.49	-1.34	0.16	0.02	1.44	-0.52	1.46	-1.1	-0.21
-0.56	0.3	1.05	-0.3	-0.21	-1.79	-1.33	-0.98	-0.23	-0.6	1.12	-0.29	-1.09	-0.12	0.83	4.04	-0.19	0.11
-1.36	-1.09	0.34	-1.61	0.07	-0.29	0.84	0.57	1.37	0.09	0.29	1.9	-1.45	-1.16	0.83	1.59	-0.01	0.69
-1.61	-0.94	1.79	2.11	-0.53	-2.37	-2.08	-1.72	-1.52	2.04	1.12	3.61	0.64	0.78	-1.65	0.86	-1.36	1.23
-2.12	-0.7	1.33	3.19	-0.85	1.18	-3.71	-1.21	-2.03	0.38	1.31	4.78	-0.65	0.21	-0.6	0.26	-1.61	0.9
-1.49	-0.67	0.62	2.52	-0.85	-1.75	-2.01	-1.72	-1.56	2.55	0.74	3.27	0.64	0.66	-1.29	1.46	-1.32	0.69
-0.22	-0.45	0.07	0.28	1.74	0.45	-0.55	-1.52	-0.63	-1.03	0.29	-5.03	-0.69	0.37	1.52	2.31	-1.03	-0.72
-0.08	-0.45	-0.48	-0.04	1.14	0.04	0.55	0.49	-0.94	0.41	-2.85	0.84	0.15	1.07	1.49	-0.79	0.21	0.18
